Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
34219,frozen,drowning or exhaustion related death,United,2009-09-11T00:00:00Z,3Q2009,2009 -- 9,2009,0,0,1,"stowaway, frozen to death in a lorry trying to go from Tangeri (MA) to Marseilles (F) (Sep 11, 2009)",tanger,35.766667,-5.8,"35.766667, -5.8",190,"Event at Tanger on Sep 11, 2009",Western Mediterranean route,AP/FE,
34220,shot by the police,authorities related death,Del grande,2009-09-08T00:00:00Z,3Q2009,2009 -- 9,2009,4,0,4,"Four migrants killed in the shooting of Egyptian police along the border with Israel in Sinai. Already the 12 people killed since May 2009 (Sep 9, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Sep 08, 2009",,Reuters,http://fortresseurope.blogspot.com/2009/09/egypt-police-kill-4-migrants-at-israeli.html
34222,police violence,authorities related death,United,2009-09-07T00:00:00Z,3Q2009,2009 -- 9,2009,0,0,12,"missing after Benghazi (LY) massacre by police, in detention centre along LY to Italy route (Sep 7, 2009)",benghazi,32.116667,20.066667,"32.116667, 20.066667",58,"Event at Benghazi on Sep 07, 2009",,FE/GiovaniE,
34221,police violence,authorities related death,United,2009-09-07T00:00:00Z,3Q2009,2009 -- 9,2009,0,0,6,"killed by police in Benghazi massacre (LY), when prisoners tried to escape detention centre (Sep 7, 2009)",benghazi,32.116667,20.066667,"32.116667, 20.066667",58,"Event at Benghazi on Sep 07, 2009",,FE/GiovaniE,
34223,fall,"violent accidental death (transport, blown in minefield...)",United,2009-09-07T00:00:00Z,3Q2009,2009 -- 9,2009,0,0,1,"stowaway, body found on hallway Brindisi-Lecce (I) thrown over truck with 17 survivors (Sep 7, 2009)",brindisi,40.632728,17.941762,"40.632728, 17.941762",72,"Event at Brindisi on Sep 07, 2009",Apulia & Calbria,CDS/NOB,
34224,suicide - hanged,suicide,United,2009-09-07T00:00:00Z,3Q2009,2009 -- 9,2009,0,0,1,"suicide, failed asylum seeker who hanged himself in a South Shields park (GB) (Sep 7, 2009)","South Shields, United Kingdom",54.999424,-1.427406,"54.999424, -1.427406",1,"Event at South Shields, United Kingdom on Sep 07, 2009",,ShieldsG/IRR,
34225,shot by the police,authorities related death,Del grande,2009-08-31T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"Egyptian police shooting at a group of migrants along the Sinai border with Israel. A man killed. Seriously injured an Eritrean girl 18 years (Sep 1, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Aug 31, 2009",,Reuters,http://fortresseurope.blogspot.com/2009/09/egypt-police-kill-african-at-border.html
34226,run over by a truck,"violent accidental death (transport, blown in minefield...)",United,2009-08-31T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,3,"run over by the truck he was hanged on to pass the border in Ancona (I) harbour (Aug 31, 2009)",ancona,43.61583,13.518915,"43.61583, 13.518915",16,"Event at Ancona on Aug 31, 2009",,Adnk,
34227,unknown,unknown - supposedly exhaustion related death,United,2009-08-28T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"manner of death unknown, died during boat trip, found in Granadilla, Tenerife Island (E) (Aug 28, 2009). From Del Grande's data set (translated): Landing in the Canary Islands, Granadilla (Tenerife). A dead man on board (Aug 31, 2009)",tenerife,28.291564,-16.62913,"28.291564, -16.62913",1120,"Event at Tenerife on Aug 28, 2009",Western African route,Diario de Noticia/ElDia/ABC/Verdad/DNG/Deia/gara.net/Diario de Navarra/PUB/DiarioVasco/EP/ELM/PICUM/NOB,http://fortresseurope.blogspot.com/2009/08/llegan-dos-pateras-canarias-con-un.html
34228,drowned,drowning or exhaustion related death,United,2009-08-27T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"drowned during rescue operation in Birzebuggia coast (M) on her way from Africa (Aug 27, 2009). From Del Grande's data set (translated): Retrieved a body off the coast of Bizzerbugia. This may be one of the passengers of the boat with 39 passengers rescue two days before in that area (Aug 29, 2009)",africa,-8.783195,34.508523,"-8.783195, 34.508523",21,"Event at Africa on Aug 27, 2009",Central Mediteranean route,Gara/MUGAK/NOB,http://fortresseurope.blogspot.com/2009/08/malta-recuperato-un-altro-cadavere-al.html
34229,drowned,drowning or exhaustion related death,Del grande,2009-08-26T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"Rescued boat adrift with 79 passengers on board off the coast of Malta. Water found in the body of a man with no life (Aug 27, 2009)",malta,35.937496,14.375416,"35.937496, 14.375416",655,"Event at Malta on Aug 26, 2009",Central Mediteranean route,Ansa,http://fortresseurope.blogspot.com/2009/08/sbarcati-134-emigrati-malta-e-siracusa.html
34230,suicide - hanged,suicide,United,2009-08-24T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"suicide, asylum seeker found hanging in prison cell in Nuremburg (D) four days earlier (Aug 24, 2009)",nuremburg,49.45203,11.07675,"49.45203, 11.07675",2,"Event at Nuremburg on Aug 24, 2009",,IRR,
34231,suicide - other,suicide,United,2009-08-23T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"suicide, overdose to family being moved to an asylum seekers camp in Mittweida (D) (Aug 23, 2009)","Mittweida, germany",50.985315,12.974056,"50.985315, 12.974056",1,"Event at Mittweida, Germany on Aug 23, 2009",,ARI,
34232,unknown,unknown - supposedly exhaustion related death,Del grande,2009-08-21T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"Spotted by a boater a corpse in the waters of Linosa, 24 miles north of Lampedusa (Aug 22, 2009)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Aug 21, 2009",Central Mediteranean route,Repubblica,http://fortresseurope.blogspot.com/2009/08/trovato-un-cadavere-largo-di-linosa.html
34234,starved,drowning or exhaustion related death,United,2009-08-19T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,72,"bodies thrown overboard after 23 days traveling from Libya to Lampedusa (I) (Aug 19, 2009). From Del Grande's data set (translated): Five Eritreans rescued on a raft 12 miles from Lampedusa say they spent 20 days adrift. 73 people have died in the crossing. Their bodies were thrown into the sea. The Maltese Armed Forces have spotted 7 corpses in the open sea (Aug 20, 2009)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Aug 19, 2009",Central Mediteranean route,LR/CDS/GE/FE/MUGAK/EP/AFP/GARA/ANSA/Nouvel Obs/ASGI/NOB,http://fortresseurope.blogspot.com/2009/08/italia-5-eritrei-lampedusa-75-morti.html
34233,fall,"violent accidental death (transport, blown in minefield...)",Del grande,2009-08-19T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"A man hanging under the chassis of a truck just landed at the port of Brindisi loses his grip and falls, dying instantly (Aug 20, 2009)",brindisi,40.632728,17.941762,"40.632728, 17.941762",72,"Event at Brindisi on Aug 19, 2009",Apulia & Calbria,Ansa,http://fortresseurope.blogspot.com/2009/08/immigrato-cade-da-camion-e-muore.html
34235,drowned,drowning or exhaustion related death,United,2009-08-16T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,27,"drowned,7 found, 20 missing, 10 survived, shipwreck near Trafalgar beach in southern Spain (Aug 16, 2009)","Trafalgar beach, spain",36.697645,-4.443222,"36.697645, -4.443222",27,"Event at Trafalgar Beach, Spain on Aug 16, 2009",Western Mediteranean route,LatinAHTribune,
34236,fall,"violent accidental death (transport, blown in minefield...)",United,2009-08-15T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"fell from third floor window of an unfitted accommodation provided by a UKBA contractor (Aug 15, 2009)",Great Britain,55.378051,-3.435973,"55.378051, -3.435973",23,"Event at Great Britain on Aug 15, 2009",,IRR,
34237,unknown,unknown - supposedly exhaustion related death,Del grande,2009-08-12T00:00:00Z,3Q2009,2009 -- 8,2009,2,0,2,"Recovered two dead bodies in the waters of the island of Kos, victims of a shipwreck. Another three people are reported missing (Aug 13, 2009)",kos,36.799851,27.102943,"36.799851, 27.102943",119,"Event at Kos on Aug 12, 2009",Eastern Mediteranean route Sea,Kathimerini,http://fortresseurope.blogspot.com/2009/08/greece-two-drown-in-migrant-boat.html
34238,unknown,unknown - supposedly exhaustion related death,Del grande,2009-08-10T00:00:00Z,3Q2009,2009 -- 8,2009,1,0,1,"Found a dead body in the sea, the waters of Cartagena, between Cabo del Agua and the island of Escombreras (Aug 11, 2009)",Cartagena,37.625683,-0.996584,"37.625683, -0.996584",8,"Event at Cartagena on Aug 10, 2009",Western Mediteranean route,La Verdad,http://fortresseurope.blogspot.com/2009/08/hallan-el-cadaver-de-un-hombre-flotando.html
34239,unknown,unknown - supposedly exhaustion related death,Del grande,2009-08-09T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"Landing at Pantelleria. From the boat adrift, three miles from the island, four of the nine Tunisians on board trying to go swimming. A dispersed (Aug 10, 2009)",pantelleria,36.828221,11.940496,"36.828221, 11.940496",37,"Event at Pantelleria on Aug 09, 2009",Central Mediteranean route,Ansa,http://fortresseurope.blogspot.com/2009/08/sbarco-pantelleria-uno-grave-e-un.html
34240,police violence,authorities related death,Del grande,2009-08-08T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,20,"The Libyan police suppressed a riot erupted during an escape attempt in Ganfuda detention camp in Benghazi. At least six Somali refugees are stabbed to death. Other sources claim that the dead are 20 (Aug 9, 2009)",benghazi,32.116667,20.066667,"32.116667, 20.066667",58,"Event at Benghazi on Aug 08, 2009",,Fortress Europe,http://fortresseurope.blogspot.com/2009/08/benghazi-spunta-un-testimone-ecco-come.html
34241,drowned,drowning or exhaustion related death,United,2009-08-07T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,12,"1 died, 11 missing, boat collided with Algerian coast guard vessel in the port of Annaba (DZ) (Aug 7, 2009). From Del Grande's data set (translated): Collision off between Annaba and a patrol boat of Algerian emigrants to Sardinia. One dead, 11 missing and 18 injured (Aug 6, 2009)",annaba,36.902859,7.755543,"36.902859, 7.755543",107,"Event at Annaba on Aug 07, 2009",Central Mediteranean route,BBC/Migreurop/NOB,http://fortresseurope.blogspot.com/2009/08/one-algerian-migrant-dies-11-missing.html
34242,fall,"violent accidental death (transport, blown in minefield...)",Del grande,2009-08-06T00:00:00Z,3Q2009,2009 -- 8,2009,0,0,1,"A dead near the port of Igoumenitsa. It was hidden in a truck, thinking that he was going to Italy, but when he realized he was heading to Athens threw himself losing his life in the fall (Aug 7, 2009)",igoumenitsa,39.50615,20.265534,"39.50615, 20.265534",7,"Event at Igoumenitsa on Aug 06, 2009",,Kathimerini,http://fortresseurope.blogspot.com/2009/08/body-found-at-igoumenitsa-port.html
34243,shot by the police,authorities related death,Del grande,2009-07-30T00:00:00Z,3Q2009,2009 -- 7,2009,1,0,1,"Egyptian police opened fire on a group of migrants at the border with Israel. A dead. It is the seventh victim since last May (Jul 31, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jul 30, 2009",,Reuters,http://fortresseurope.blogspot.com/2009/08/egypt-police-kill-african-migrant-at.html
34246,drowned,drowning or exhaustion related death,United,2009-07-26T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"reportedly drowned, parts of a body found along la Fontanilla beach of Marbella Island (E) (Jul 26, 2009). From Del Grande's data set (translated): Found human remains in an advanced state of decomposition along the beach of La Fontanilla Marbella, where a week before had been recovered a corpse (Jul 27, 2009)",marbella,36.510071,-4.882447,"36.510071, -4.882447",2,"Event at Marbella on Jul 26, 2009",Western Mediteranean route,FE/SUR,http://www.diariosur.es/20090727/marbella/hallan-restos-humanos-playa-20090727.html
34245,police violence,authorities related death,United,2009-07-26T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"murdered, beaten by border guards in his attempt to embark to reach I, died in GR hospital (Jul 26, 2009)",greece,39.074208,21.824312,"39.074208, 21.824312",20,"Event at Greece on Jul 26, 2009",,AFP,
34244,police violence,authorities related death,Del grande,2009-07-26T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Beaten by the police in the Greek port of Igoumenitsa, while trying to get on a truck ready to embark for Italy, a young Kurdish died at the hospital in Thessaloniki after four months in a coma (Jul 27, 2009)",igoumenitsa,39.50615,20.265534,"39.50615, 20.265534",7,"Event at Igoumenitsa on Jul 26, 2009",,Reuters,http://fortresseurope.blogspot.com/2006/01/pestato-sangue-dalla-polizia-greca-come.html
34247,heart failure,drowning or exhaustion related death,United,2009-07-24T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"died of heart attack in Tenerife (E), employer did not call for assistance as Luis was illegal (Jul 24, 2009)",tenerife,28.291564,-16.62913,"28.291564, -16.62913",1120,"Event at Tenerife on Jul 24, 2009",Western African route,Can7/VDG/ElDia/Publico,
34248,unknown,unknown - supposedly exhaustion related death,Del grande,2009-07-23T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Missing a man fell into the sea during a rescue operation off the coast of Manilva, Malaga (Jul 24, 2009)",malaga,36.721261,-4.421266,"36.721261, -4.421266",17,"Event at Malaga on Jul 23, 2009",Western Mediteranean route,Sur,http://www.diariosur.es/20090724/malaga/buscan-naufrago-patera-20090724.html
34249,car accident,"violent accidental death (transport, blown in minefield...)",Del grande,2009-07-22T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,3,"Traffic accident with a truck load of emigrants to Kulp, in the province of Diyarbakr. Three people die, 18 injured (Jul 23, 2009)",Diyarbakr,37.91441,40.230629,"37.91441, 40.230629",3,"Event at Diyarbakr on Jul 22, 2009",,France Presse,http://www.hurriyetdailynews.com/n.php?n=three-immigrants-killed-in-road-accident-2009-07-23
34250,unknown,unknown - supposedly exhaustion related death,Del grande,2009-07-21T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Found on the beach of La Fontanilla Marbella a corpse in an advanced state of decomposition (Jul 22, 2009)",marbella,36.510071,-4.882447,"36.510071, -4.882447",2,"Event at Marbella on Jul 21, 2009",Western Mediteranean route,Sur,http://www.diariosur.es/20090722/marbella/aparece-playa-cadaver-decapitado-20090722.html
34251,unknown,unknown - supposedly exhaustion related death,Del grande,2009-07-16T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Found a dead body in the waters of Cadiz, in front of the beach of Barbate. It would be the tenth victim of the sinking of the past June 29 (Jul 17, 2009)",barbate,36.19002,-5.92248,"36.19002, -5.92248",74,"Event at Barbate on Jul 16, 2009",Western Mediteranean route,Sur,http://www.diariosur.es/20090717/andalucia/aparece-cadaver-mujer-seria-20090717.html
34252,died from dehydration,drowning or exhaustion related death,Del grande,2009-07-14T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Landing Canarian island of El Hierro. A dead man on board, a second man dies of dehydration after hospitalization (Jul 15, 2009)",hierro,27.725499,-18.024301,"27.725499, -18.024301",41,"Event at Hierro on Jul 14, 2009",Western African route,Diario de Navarra,http://www.diariodenavarra.es/20090714/nacional/mueren-dos-inmigrantes-llegaron-cayuco-hierro.html?not=2009071401405957&idnot=2009071401405957&dia=20090714&seccion=nacional&seccion2=sucesos&chnl=30%E2%80%9D%3E15/07/09%3C/a%3E%3C/td%3E%3Ctd%3E%3Cp
34253,unknown,unknown - supposedly exhaustion related death,United,2009-07-13T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"died at the hospital of El Hierro, Canary Islands (E),  after boat arrived in La Estaca harbour (Jul 13, 2009). From Del Grande's data set (translated): He died at the hospital in El Hierro third passenger boat arrived last Sunday in the Canary Islands (Jul 15, 2009)",hierro,27.725499,-18.024301,"27.725499, -18.024301",41,"Event at Hierro on Jul 13, 2009",Western African route,Verdad/Diario de Navarra,http://www.diariodenavarra.es/20090714/nacional/muere-hospital-otro-inmigrantes-llego-domingo-cayuco-hierro.html?not=2009071413060109&idnot=2009071413060109&dia=20090714&seccion=nacional&seccion2=sucesos&chnl=30
34254,murdered,malicious intent related death / manslaughter,United,2009-07-13T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"manslaughter, beaten by neonazis whilst returning to Möhlau asylum centre (D) at night (Jul 13, 2009)","mühlau, germany",50.900875,12.765471,"50.900875, 12.765471",1,"Event at MüHlau, Germany on Jul 13, 2009",,taz,
34255,suicide - other,suicide,United,2009-07-04T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"suicide in the detention centre of Ponte Gallera, in Roma (I) (Jul 4, 2009)",roma,41.892916,12.48252,"41.892916, 12.48252",2,"Event at Roma on Jul 04, 2009",,IlMess/IRR,
34256,shot by the police,authorities related death,Del grande,2009-07-02T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,2,"Egyptian police opened fire on a group of migrants at the border with Israel. Killed two Somalis (Jul 3, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jul 02, 2009",,Reuters,http://fortresseurope.blogspot.com/2009/08/egypt-police-kill-two-somalis-at-israel.html
34257,unknown,unknown - supposedly exhaustion related death,United,2009-06-30T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"stabbed in fight between migrants attempting to get aboard the lorry to UK in Calais (F)  (Jun 30, 2009)",calais,50.95129,1.858686,"50.95129, 1.858686",28,"Event at Calais on Jun 30, 2009",,Telegraph/Mail Online/Evening Standard/PICUM/Congoo/Haaba,
34258,drowned,drowning or exhaustion related death,United,2009-06-28T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,9,"drowned, wooden boat collided with rocks off Barbate (E), traffickers imprisoned for murder (Jun 28, 2009). From Del Grande's data set (translated): Spills on the rocks in front of the beaches of Barbate, near Cadiz, a boat load of emigrants. Found the lifeless bodies of 8 people drowned, including two women (Jun 30, 2009)",barbate,36.19002,-5.92248,"36.19002, -5.92248",74,"Event at Barbate on Jun 28, 2009",Western Mediteranean route,PICUM/SUR/Publico/EP/ELM/Verdad/DiarioVasco/MNS/NOB/AdnE,http://www.elmundo.es/elmundo/2009/06/29/andalucia/1246262310.html
34259,unknown,unknown - supposedly exhaustion related death,Del grande,2009-06-27T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"Egyptian police opened fire on a group of migrants at the border with Israel. A murdered. Wounded in the back a 15 year old boy (Jun 28, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jun 27, 2009",,Reuters,http://af.reuters.com/article/eritreaNews/idAFLS33140420090628
34260,unknown,unknown - supposedly exhaustion related death,Del grande,2009-06-23T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"Egyptian police shooting at a group of migrants at the border with Israel in the wilderness of Sinai. He died in his twenties. It is the third victim of 2009 (Jun 24, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jun 23, 2009",,Reuters,http://af.reuters.com/article/eritreaNews/idAFLO9248220090624
34261,car accident,"violent accidental death (transport, blown in minefield...)",United,2009-06-22T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"stowaway,fell from the truck he was hidden, died in hospital 3h later in Ancona (I) (Jun 22, 2009). From Del Grande's data set (translated): Amir Rohol, nineteen year-old Afghan, died after falling from a truck unloaded in the port of Ancona and headed north along the junction between the 76 Freeway and the A14 (Jun 23, 2009)",ancona,43.61583,13.518915,"43.61583, 13.518915",16,"Event at Ancona on Jun 22, 2009",,PICUM/LR/MP/NOB,http://www.aduc.it/dyn/immigrazione/noti.php?id=263715
34262,suicide - hanged,suicide,United,2009-06-18T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"suicide in a cell in Barcelona (E) hanging himself with his own shirt, arrested because illegal  (Jun 18, 2009)",barcelona,41.385064,2.173403,"41.385064, 2.173403",4,"Event at Barcelona on Jun 18, 2009",Western Mediteranean route,EP/AVUI/MUGAK,
34264,drowned,drowning or exhaustion related death,United,2009-06-16T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,2,"1drowned, 1missing after shipwreck due to storm waters 30 miles south Cartagena (E) (Jun 16, 2009)",Cartagena,37.625683,-0.996584,"37.625683, -0.996584",8,"Event at Cartagena on Jun 16, 2009",Western Mediteranean route,LV/Verdad/PICUM/NOB,
34263,unknown,unknown - supposedly exhaustion related death,Del grande,2009-06-16T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,2,"Norwegian tanker rescued a small boat with 10 passengers off the coast of Murcia. One dead and one missing (Jun 17, 2009)",murcia,37.992331,-1.130458,"37.992331, -1.130458",14,"Event at Murcia on Jun 16, 2009",Western Mediteranean route,Ansa,http://www.unita.it/newsansa/37689/spagna_un_immigrato_morto_dopo_soccorsi
54537,drowned,drowning or exhaustion related death,,2009-06-12T05:00:00Z,2Q2009,2009 -- 6,2009,1,0,1,"A man died because he wanted to take a shower. As there was no shower in Calais, migrants washed in a canal. One of them slipped and died.","Calais, France",50.95129,1.858686,"50.95129, 1.858686",28,"A man died while washing in Calais, on June 13, 2009",,Libération,http://lille.blogs.liberation.fr/saberan/2009/06/interviewcelinedallery.html
34265,drowned,drowning or exhaustion related death,United,2009-06-10T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,6,"drowned, 5 died, 1 missing, overloaded boat sank off the coast of Bodrum (TR) (Jun 10, 2009)",Bodrum,37.035339,27.43029,"37.035339, 27.43029",57,"Event at Bodrum on Jun 10, 2009",Eastern Mediteranean route Sea,FE/Ansa/Le Monde/NOB,
34266,suicide - jumped in water,suicide,United,2009-06-10T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"suicide, jumped in Bilbao s river (E) escaping from policemen who took him for a thief (Jun 10, 2009)",bilbao,43.263013,-2.934985,"43.263013, -2.934985",1,"Event at Bilbao on Jun 10, 2009",,EP,
34267,drowned,drowning or exhaustion related death,United,2009-06-09T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,7,"drowned, 4 died, 3 missing, trying to swim from a dinghy to the coast of Gela (I)  (Jun 9, 2009)",gela,37.074153,14.240354,"37.074153, 14.240354",59,"Event at Gela on Jun 09, 2009",Central Mediteranean route,Picum/EveryOne Group/NOB,
34268,lack of medical care,drowning or exhaustion related death,United,2009-06-09T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"medical neglect, died in Busmantsi detention centre (BG) where he had been held for 3 years (Jun 9, 2009)",busmantsi,42.675931,23.433222,"42.675931, 23.433222",2,"Event at Busmantsi on Jun 09, 2009",Eastern Mediteranean route Land,IRR,http://www.ipsnews.net/2009/10/bulgaria-migrants-denied-even-medicine/
34269,suicide - jumped in water,suicide,United,2009-06-07T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"suicide, threw herself in the Brembo River in Bergamo (I) in fear of deportation (Jun 7, 2009)",bergamo,45.698264,9.67727,"45.698264, 9.67727",1,"Event at Bergamo on Jun 07, 2009",,LR/IRR,
34270,drowned,drowning or exhaustion related death,Del grande,2009-06-03T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,18,"18 km boat capsizes off the coast of Tarifa (Cdiz). Rescued 22 passengers. At least 18 missing in sea (Jun 4, 2009)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Jun 03, 2009",Western Mediteranean route,El Pais,http://www.elpais.com/articulo/espana/Desaparecidos/ocupantes/patera/cerca/Tarifa/elpepuesp/20090604elpepunac_1/Tes
34272,bled to death due to barbed wire,other,United,2009-06-02T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"tangled in razor wire trying to jump a border fence from Morocco to Ceuta (E) (Jun 2, 2009)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",213,"Event at Ceuta on Jun 02, 2009",Western Mediteranean route,REU/NOB,
34271,unknown,unknown - supposedly exhaustion related death,Del grande,2009-06-02T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"Sighted by a merchant ship off the coast of Cabo de Gata, Andalucia, the corpse of a man abandoned by days at sea (Jun 3, 2009)",gata,38.77474,0.08519,"38.77474, 0.08519",52,"Event at Gata on Jun 02, 2009",Western Mediteranean route,La Verdad de Murcia,http://www.laverdad.es/murcia/20090604/espana/encuentran-cadaver-subsahariano-aguas-20090604.html
34273,shot by the police,authorities related death,Del grande,2009-06-01T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"The Egyptian border police opened fire on a group of migrants along the Sinai border with Israel. One dead and one seriously injured (Jun 2, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jun 01, 2009",,Reuters,http://af.reuters.com/article/eritreaNews/idAFL2100269020090602
34274,suicide - other,suicide,United,2009-05-26T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"suicide after 67 days in detention centre in Gavle (S) in fear of being deported (May 26, 2009)","gavle, sweden",60.67488,17.141273,"60.67488, 17.141273",1,"Event at Gavle, Sweden on May 26, 2009",,IRR/UPP/NewsD,
34275,drowned,drowning or exhaustion related death,Del grande,2009-05-21T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"Found the lifeless body of an immigrant drowned off the island of Man, on the southeastern coast of Sardinia (May 22, 2009)",sardinia,40.120875,9.012893,"40.120875, 9.012893",81,"Event at Sardinia on May 21, 2009",Central Mediteranean route,Ansa,http://www.ansa.it/
34276,suicide - other,suicide,United,2009-05-18T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"reported suicide using tshirt but guards reportedly beat him in Barcelona detention centre(E) (May 18, 2009)",barcelona,41.385064,2.173403,"41.385064, 2.173403",4,"Event at Barcelona on May 18, 2009",Western Mediteranean route,SetDirecta/FAIV,
34277,car accident,"violent accidental death (transport, blown in minefield...)",United,2009-05-18T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"road accident, tried to jump onto moving truck on motorway in Teteghem (F) towards B (May 18, 2009)","Teteghem, france",51.01792,2.440483,"51.01792, 2.440483",1,"Event at Teteghem, France on May 18, 2009",,VoixDuNord,
34278,murdered,malicious intent related death / manslaughter,United,2009-05-03T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"stabbed after a brawl in Villemin square, Paris (F), where he lived as asylum seeker (May 3, 2009)",paris,48.856614,2.352222,"48.856614, 2.352222",30,"Event at Paris on May 03, 2009",,Reu/Ya.F/MSF/MRAP/CSE10/AFP,
34279,illness,drowning or exhaustion related death,Del grande,2009-05-01T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"He died at the hospital in Caltanissetta, suffering from meningitis, one of the castaways rescued two weeks ago by the merchant turkish Pinar (May 2, 2009)",Caltanissetta,37.490112,14.062893,"37.490112, 14.062893",3,"Event at Caltanissetta on May 01, 2009",Central Mediteranean route,Ansa,http://www.rainews24.it/Notizia.asp?NewsId=116976
34280,unknown,unknown - supposedly exhaustion related death,United,2009-04-29T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,1,"died in the hospital in Tarifa (E) after Spanish authorities blocked a boat from Tanger (MA)  (Apr 29, 2009). From Del Grande's data set (translated): One of the passengers of a boat intercepted the day before to 14 miles from Tarifa (Cdiz) died in the hospital on Isla de las Palomas (Apr 30, 2009)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Apr 29, 2009",Western Mediteranean route,EFE/NOB,http://www.elmundo.es/papel/2009/05/01/espana/2638476.html
34283,drowned,drowning or exhaustion related death,United,2009-04-22T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,20,"missing after shipwreck, 250 km east of Aden (Yemen), coming from Somalia, 165 survivors (Apr 22, 2009)",aden,12.8,45.033333,"12.8, 45.033333",55,"Event at Aden on Apr 22, 2009",,MUGAK/Can7/EFE/UNHCR/LR/GARA,
